COVID19 статистике,2020-04-26,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,2062
1,Ниш,1155
2,Ћуприја,234
3,Ваљево,175
4,Крушевац,185
5,Лесковац,194
6,Параћин,153
7,Алексинац,150
8,Јагодина,120
9,Нови Сад,106
10,Прокупље,107
11,Смедерево,110
12,Бор,121
13,Крагујевац,86
14,Панчево,93
15,Нови Пазар,78
16,Смедеревска Паланка,79
17,Шабац,77
18,Чачак,74
19,Дољевац,67
20,Врање,64
21,Зајечар,68
22,Мерошина,52
23,Блаце,52
24,Власотинце,72
25,Куршумлија,44
26,Вршац,54
27,Суботица,43
28,Пирот,49
29,Краљево,40
30,Пожаревац,37
31,Сурдулица,38
32,Рашка,46
33,Сомбор,32
34,Лозница,32
35,Стара Пазова,32
36,Ужице,34
37,Горњи Милановац,26
38,Кикинда,27
39,Сврљиг,25
40,Сокобања,33
41,Бољевац,32
42,Варварин,24
43,Владичин Хан,23
44,Сремска Митровица,28
45,Аранђеловац,23
46,Житорађа,27
47,Зрењанин,22
48,Књажевац,24
49,Свилајнац,29
50,Уб,23
51,Алибунар,21
52,Лајковац,31
53,Звечан,20
54,Зубин Поток,19
55,Бабушница,22
56,Кладово,30
57,Косовска Митровица,22
58,Мионица,21
59,Александровац,34
60,Деспотовац,28
61,Велика Плана,26
62,Бачка Паланка,16
63,Бачка Топола,16
64,Кула,17
65,Бајина Башта,19
66,Гаџин Хан,15
67,Инђија,20
68,Ковин,15
69,Врњачка Бања,13
70,Ковачица,12
71,Лепосавић,13
72,Ражањ,12
73,Бела Црква,15
74,Рума,12
75,Србобран,13
76,Бела Паланка,12
77,Бојник,12
78,Осечина,9
79,Пријепоље,9
80,Рековац,18
81,Сјеница,9
82,Ариље,10
83,Врбас,11
84,Лебане,13
85,Неготин,48
86,Нова Варош,10
87,Пећинци,8
88,Прибој,8
89,Рача,8
90,Љиг,11
91,Пожега,8
92,Темерин,9
93,Брус,7
94,Ириг,7
95,Крупањ,6
96,Лучани,7
97,Трстеник,8
98,Ћићевац,7
99,Шид,8
100,Бујановац,5
101,Гњилане,5
102,Липљан,5
103,Опово,5
104,Приштина,6
105,Сента,5
106,Топола,5
107,Владимирци,9
108,Жабаљ,9
109,Жабари,4
110,Клина,4
111,Коцељева,4
112,Петровац на Млави,5
113,Пећ,4
114,Пландиште,8
115,Тител,6
116,Баточина,4
117,Бечеј,3
118,Босилеград,3
119,Ивањица,3
120,Косово Поље,4
121,Косовска Каменица,4
122,Лапово,3
123,Мајданпек,6
124,Мали Зворник,3
125,Прешево,3
126,Призрен,3
127,Беочин,5
128,Богатић,2
129,Велико Градиште,2
130,Глоговац,2
131,Голубац,2
132,Димитровград,2
133,Жагубица,2
134,Исток,2
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,2
138,Сечањ,2
139,Сремски Карловци,3
140,Трговиште,3
141,Урошевац,2
142,Чајетина,2
143,Штимље,3
144,Ада,1
145,Апатин,2
146,Бач,1
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,2
151,Нова Црња,1
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
